Price of Heavy Heating Oil (Euros per ton)												
												
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
												
2000	156.66	161.55	177.82	158.83	164.02	199.39	204.19	180.72	205.66	237.54	221.01	199.59
2001	167.59	184.66	176.74	172.47	168.57	173.25	172.18	167.58	177.06	161.88	147.51	153.34
2002	167.32	162.20	170.99	186.41	185.50	175.32	179.74	178.38	196.99	219.29	195.08	195.78
2003	204.81	216.96	221.41	186.64	162.17	169.71	178.28	191.34	187.60	180.63	179.26	169.29
2004	165.70	161.89	165.52	166.44	179.45	178.27	183.58	185.30	173.13	190.74	177.86	172.53
2005	178.04	184.84	207.28	213.56	218.33	223.25	248.89	256.52	283.43	312.00	298.51	287.01
2006	290.50	313.90	313.53	319.01	312.74	303.71	309.39	302.21	289.78	270.96	267.04	260.81
2007	251.99	238.38	233.18	252.57	264.34	275.34	299.74	305.44	304.88	313.40	367.00	357.41
2008	362.86	356.95	363.79	377.80	407.82	451.88	535.84	488.10	436.71	395.46	315.08	241.27
2009	242.24	249.06	247.18	266.08	269.84	323.60	319.96	350.41	335.83	350.12	360.01	353.46
2010	371.20	362.51	386.52	413.84	409.13	400.86	403.54	400.99	397.06	384.90	399.89	415.58
2011	434.11	465.41	529.18	541.49	503.75	522.45	537.21	495.59	521.40	525.43	541.99	534.14
2012	580.40	589.09	618.89	606.88	572.32	524.19	549.43	602.39	595.61	544.93	523.64	500.21
2013	529.57	548.35	521.93	497.46	503.50	508.85	505.33	502.01	505.23	488.61	482.10	481.43
2014	469.52	487.47	483.80	485.00	487.11	496.45	474.87	467.88	468.66	417.88	381.61	299.34
2015	243.67	300.22	308.87	332.69	349.20	332.60	307.18	260.84	238.49	247.55	229.75	189.72
0												
